 file_name                                               solver_name  setup_time (usecs)  solve_time (usecs)  status 
 almost_symmetric_network_16_orgs_delete_prob_factor_8   BatSat       349                 89                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_9   ScrewSat     1521                233                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_9   VariSat      430                 174                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_9   Splr         783                 84                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_9   BatSat       367                 71                  UNSAT 
 almost_symmetric_network_2_orgs_                        ScrewSat     358                 44                  UNSAT 
 almost_symmetric_network_2_orgs_                        VariSat      364                 21                  UNSAT 
 almost_symmetric_network_2_orgs_                        Splr         296                 13                  UNSAT 
 almost_symmetric_network_2_orgs_                        BatSat       146                 11                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_1    ScrewSat     763                 202                 UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_1    VariSat      218                 115                 UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_1    Splr         706                 35                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_1    BatSat       201                 24                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_2    ScrewSat     1217                223                 UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_2    VariSat      464                 54                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_2    Splr         3320                33                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_2    BatSat       435                 29                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_3    ScrewSat     1441                342                 UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_3    VariSat      240                 41                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_3    Splr         888                 27                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_3    BatSat       227                 25                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_4    ScrewSat     658                 27                  SAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_4    VariSat      237                 36                  SAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_4    Splr         772                 851                 SAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_4    BatSat       274                 28                  SAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_1    ScrewSat     691                 76                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_1    VariSat      530                 116                 UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_1    Splr         755                 95                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_1    BatSat       368                 84                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_2    ScrewSat     613                 126                 UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_2    VariSat      217                 71                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_2    Splr         739                 38                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_2    BatSat       212                 32                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_3    ScrewSat     641                 162                 UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_3    VariSat      210                 61                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_3    Splr         381                 34                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_3    BatSat       206                 28                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_4    ScrewSat     556                 288                 UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_4    VariSat      151                 81                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_4    Splr         288                 81                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_4    BatSat       160                 49                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_5    ScrewSat     1436                220                 UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_5    VariSat      943                 60                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_5    Splr         3932                45                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_5    BatSat       596                 51                  UNSAT 
 almost_symmetric_network_8_orgs_                        ScrewSat     1238                110                 UNSAT 
 almost_symmetric_network_8_orgs_                        VariSat      402                 120                 UNSAT 
 almost_symmetric_network_8_orgs_                        Splr         909                 163                 UNSAT 
 almost_symmetric_network_8_orgs_                        BatSat       381                 100                 UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_1    ScrewSat     1240                295                 UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_1    VariSat      309                 154                 UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_1    Splr         555                 90                  UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_1    BatSat       280                 44                  UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_2    ScrewSat     1248                465                 UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_2    VariSat      287                 68                  UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_2    Splr         598                 114                 UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_2    BatSat       259                 97                  UNSAT 
